City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,kaniv,49.7518,31.46,-8.0,91,12,2.69,UA,1675817711
340,sangar,63.9242,127.4739,-39.91,97,100,1.14,RU,1675817711
341,harper,4.375,-7.7169,26.21,84,100,3.02,LR,1675817712
342,banda aceh,5.5577,95.3222,25.6,84,97,4.55,ID,1675817712
343,muroto,33.2833,134.15,12.14,64,18,2.95,JP,1675817713
344,praia,14.9215,-23.5087,20.3,60,40,9.26,CV,1675817467
345,adelanto,34.5828,-117.4092,13.73,24,3,1.97,US,1675817713
346,san cristobal,7.7669,-72.225,22.1,77,9,0.7,VE,1675817714
347,saldanha,-33.0117,17.9442,17.03,89,0,6.72,ZA,1675817714
348,laguna,38.421,-121.4238,15.59,57,0,1.54,US,1675817715
349,boende,-0.2167,20.8667,23.86,58,100,0.86,CD,1675817715
350,cockburn town,21.4612,-71.1419,25.48,75,0,10.11,TC,1675817618
351,souris,49.6172,-100.2612,-0.15,88,94,4.55,CA,1675817716
352,namatanai,-3.6667,152.4333,29.55,67,88,4.75,PG,1675817722
353,antofagasta,-23.65,-70.4,21.6,82,100,2.28,CL,1675817538
354,damietta,31.4165,31.8133,9.94,66,40,7.62,EG,1675817732
355,hamilton,39.1834,-84.5333,12.47,87,100,4.12,US,1675817733
356,santiago del estero,-27.7951,-64.2615,31.9,32,39,2.84,AR,1675817733
357,sept-iles,50.2001,-66.3821,-5.71,83,75,9.77,CA,1675817585
358,christchurch,-43.5333,172.6333,23.6,51,12,7.2,NZ,1675817662
359,labuhan,-6.8844,112.2051,24.98,89,100,3.66,ID,1675817731
360,ixtapa,20.7,-105.2,19.81,75,3,0.62,MX,1675817645
361,senno,59.5336,33.9167,-3.74,93,100,4.52,RU,1675817740
362,adelaide,-34.9333,138.6,32.25,35,0,1.79,AU,1675817214
363,jijiang,29.2906,106.2542,12.5,88,100,0.49,CN,1675817751
